nome,cpf,idade,data,endereco,estado,pais
Henry Gabriel da Luz,860.712.359-95,27,04/07/1997,"Viela de Sousa, 85
Copacabana
01843-508 Vasconcelos / MS","('SE', 'Sergipe')",Brasil
João Miguel Campos,025.471.398-04,38,02/05/1986,"Favela José Pedro Fernandes
Camponesa 1ª Seção
36917921 Nogueira / CE","('RN', 'Rio Grande do Norte')",Brasil
Vitor Câmara,981.645.720-20,42,29/04/1982,"Lago Maria Luiza da Rosa, 43
Calafate
75872729 da Paz / AL","('PI', 'Piauí')",Brasil
Luiz Henrique Borges,057.412.893-04,36,28/12/1987,"Viaduto de Cunha, 47
São Jorge 3ª Seção
14063063 Albuquerque de Goiás / PA","('RO', 'Rondônia')",Brasil
Théo Pires,081.459.762-94,42,07/09/1982,"Vale de Viana, 7
Alto Vera Cruz
52442799 Moraes / PI","('RR', 'Roraima')",Brasil
Yasmin Mendonça,921.680.437-87,25,21/09/1999,"Via de Caldeira, 616
Lourdes
89215-192 Vieira / SE","('AC', 'Acre')",Brasil
Srta. Ana Julia Pires,754.312.869-19,48,31/10/1976,"Largo Campos, 75
Candelaria
45566-012 Vasconcelos de Macedo / RS","('CE', 'Ceará')",Brasil
Leonardo Marques,817.293.460-22,29,07/05/1995,"Viela Catarina Silva, 43
Ventosa
54278-522 Novais / PR","('RR', 'Roraima')",Brasil
Mariana Silveira,370.815.942-04,55,27/01/1969,"Ladeira de Vieira, 65
Vila Santa Rosa
46670512 Sá / RR","('AP', 'Amapá')",Brasil
Dr. Breno da Mota,785.439.206-47,42,07/07/1982,"Esplanada Luiz Fernando Almeida
Glória
56329488 Machado do Galho / PE","('CE', 'Ceará')",Brasil
Breno Macedo,254.068.139-51,21,26/07/2003,"Sítio Felipe Cavalcanti, 81
Canaa
90007604 Carvalho Paulista / GO","('CE', 'Ceará')",Brasil
Valentina Ramos,073.914.826-50,34,24/06/1990,"Distrito de Vargas, 22
João Paulo Ii
63730-726 Ramos / AM","('RJ', 'Rio de Janeiro')",Brasil
Esther Brito,305.219.746-07,35,19/01/1989,"Distrito Thiago Cavalcante, 71
Engenho Nogueira
73620860 Oliveira / AM","('RR', 'Roraima')",Brasil
Laura Ribeiro,534.107.896-93,50,15/04/1974,"Lagoa de Alves, 381
Mirtes
50389-948 da Mata / DF","('MA', 'Maranhão')",Brasil
Ravy Castro,359.207.186-68,27,03/12/1996,"Lagoa Moraes, 57
Boa Viagem
39632448 Barbosa / RS","('RN', 'Rio Grande do Norte')",Brasil
Dra. Eduarda Garcia,804.317.256-08,55,18/08/1969,"Conjunto Vieira, 90
Fernão Dias
72135-787 Vieira de Goiás / AL","('PE', 'Pernambuco')",Brasil
Paulo Mendonça,389.214.576-82,51,23/03/1973,"Residencial Porto, 74
Varzea Da Palma
49178698 Freitas do Amparo / BA","('RJ', 'Rio de Janeiro')",Brasil
Olivia Peixoto,934.807.126-22,23,09/06/2001,"Favela João Vitor da Luz, 8
Jardim Felicidade
01469-742 Porto do Amparo / AC","('MA', 'Maranhão')",Brasil
Felipe Machado,365.914.087-20,50,12/04/1974,"Campo José Azevedo, 44
Vila Minaslandia
01473407 Almeida / MG","('SE', 'Sergipe')",Brasil
Olivia Cassiano,210.468.793-40,34,25/04/1990,"Feira Breno Novais, 16
Lagoa
68455415 Correia / MT","('MS', 'Mato Grosso do Sul')",Brasil
Mathias Rocha,508.967.342-00,34,10/02/1990,"Recanto Guerra, 86
Mala E Cuia
15375286 Moura de Goiás / RO","('AP', 'Amapá')",Brasil
Maria Cecília Pimenta,603.547.821-26,36,16/02/1988,"Campo Rezende, 574
Conjunto Novo Dom Bosco
14736183 Gonçalves / PR","('SC', 'Santa Catarina')",Brasil
Henrique Martins,604.289.173-13,54,27/08/1970,"Recanto de da Costa, 765
Serrano
65396301 Moura do Galho / SE","('MS', 'Mato Grosso do Sul')",Brasil
Nicole Costela,504.279.186-85,34,23/07/1990,"Parque de Jesus, 61
Carmo
45641-457 Castro da Praia / RS","('RN', 'Rio Grande do Norte')",Brasil
Theo da Rosa,971.683.240-04,53,09/04/1971,"Ladeira Isabela Caldeira
Morro Dos Macacos
42185568 Ramos / AP","('ES', 'Espírito Santo')",Brasil
Lucas Gabriel Souza,217.934.805-32,26,04/07/1998,"Lago de Guerra, 8
Monte Azul
27249252 Machado de Goiás / DF","('SP', 'São Paulo')",Brasil
Ana Lívia Fernandes,395.680.712-02,34,25/08/1990,"Feira Marcela Camargo, 57
Minas Caixa
39855-907 Pinto de Goiás / AM","('RN', 'Rio Grande do Norte')",Brasil
João Felipe Fogaça,783.296.541-09,41,16/09/1983,"Estação de da Luz, 87
Carlos Prates
65876-916 Campos de Jesus / PE","('MT', 'Mato Grosso')",Brasil
Juan Novaes,687.925.403-92,50,13/08/1974,"Conjunto Lorenzo Almeida, 46
Guarani
70173369 Casa Grande de Macedo / AC","('AL', 'Alagoas')",Brasil
Joana Castro,034.591.867-39,50,20/10/1974,"Trevo Maria Liz Ferreira, 64
Carmo
21022-941 Costa / RR","('PI', 'Piauí')",Brasil
Fernando Garcia,158.473.906-10,48,01/04/1976,"Setor de Fogaça, 47
Acaiaca
03235-181 Abreu / MA","('CE', 'Ceará')",Brasil
Lucas Gabriel Aparecida,046.859.273-38,22,30/05/2002,"Lagoa Bárbara Fonseca, 15
Floramar
20235-454 Mendes / MG","('TO', 'Tocantins')",Brasil
Marcos Vinicius Pires,129.645.378-28,34,21/06/1990,"Aeroporto Otto Barbosa, 45
Vila Do Pombal
60545-252 Ferreira Alegre / DF","('MG', 'Minas Gerais')",Brasil
Yuri Andrade,359.704.861-75,19,20/01/2005,"Loteamento Isadora Guerra, 8
Mirante
64894-317 Ferreira de Cassiano / AP","('MS', 'Mato Grosso do Sul')",Brasil
Cecília Campos,830.142.796-50,33,17/07/1991,"Esplanada Renan Aparecida, 4
Jardim Guanabara
48614427 Montenegro / GO","('RO', 'Rondônia')",Brasil
Ana Beatriz Silva,026.473.915-99,29,04/11/1995,"Vila da Costa, 45
Vila Cemig
60784-185 Cirino das Flores / AL","('RR', 'Roraima')",Brasil
Danilo da Mata,395.762.148-82,27,27/09/1997,"Residencial de Azevedo, 95
Vila Oeste
53841107 Lima / AP","('RS', 'Rio Grande do Sul')",Brasil
Liam Rios,047.523.918-05,58,29/01/1966,"Núcleo Ana Porto
João Pinheiro
62317-031 da Paz / MS","('RO', 'Rondônia')",Brasil
Dr. Gael Moura,563.407.819-93,28,01/04/1996,"Lago Sampaio
Granja De Freitas
37541-039 Mendonça / RN","('PA', 'Pará')",Brasil
Stephany Pinto,601.547.392-43,30,17/08/1994,"Lago Pinto, 69
Ademar Maldonado
00859501 Sá da Mata / RR","('AM', 'Amazonas')",Brasil
Pedro Lucas Novais,894.067.315-84,42,10/03/1982,"Jardim de Araújo, 47
Ribeiro De Abreu
18764-678 Albuquerque da Mata / CE","('CE', 'Ceará')",Brasil
Sr. Oliver Albuquerque,423.956.801-33,36,06/09/1988,"Chácara de da Cunha, 8
Miramar
52479538 Fogaça de Goiás / AC","('PA', 'Pará')",Brasil
Laura Pinto,496.875.301-20,21,26/07/2003,"Estrada Cirino
Conjunto Jardim Filadélfia
67504-526 Novais / AC","('AL', 'Alagoas')",Brasil
Sr. Lucas Gabriel Aragão,073.418.659-20,37,24/07/1987,"Jardim Aragão, 15
Conjunto Paulo Vi
79511721 Pastor / DF","('GO', 'Goiás')",Brasil
Sr. Juan Garcia,026.195.478-49,60,01/07/1964,"Campo Vieira, 20
Providencia
87629919 Camargo / MS","('MT', 'Mato Grosso')",Brasil
Maysa Carvalho,064.321.598-06,29,18/10/1995,"Praia da Cunha, 44
Olaria
72631-038 Moura de Goiás / RN","('AM', 'Amazonas')",Brasil
Carlos Eduardo Souza,985.427.013-05,37,22/02/1987,"Setor Sousa, 852
Ipe
12377713 Correia de Ramos / TO","('SE', 'Sergipe')",Brasil
Luara Martins,801.729.436-04,26,13/01/1998,"Feira Ravi Lucca Mendonça, 41
Conjunto Taquaril
22354-266 Nascimento / SP","('SC', 'Santa Catarina')",Brasil
Sr. Vitor Gabriel Sampaio,073.514.682-90,31,21/06/1993,"Ladeira Cecilia Araújo, 9
Aeroporto
52290-496 Albuquerque / ES","('RJ', 'Rio de Janeiro')",Brasil
Sofia Cassiano,816.340.725-53,31,15/07/1993,"Via de Aragão, 56
Vitoria Da Conquista
08203808 Câmara / MS","('DF', 'Distrito Federal')",Brasil
Francisco Nascimento,318.265.047-53,39,11/06/1985,"Praça Ferreira, 47
Nova Cintra
54160-117 das Neves / PA","('PI', 'Piauí')",Brasil
Ian Aragão,907.386.421-69,36,10/09/1988,"Setor de Campos, 4
Santo André
13293049 Rocha / PB","('MS', 'Mato Grosso do Sul')",Brasil
Paulo Pastor,980.462.731-04,39,22/04/1985,"Sítio de Oliveira, 78
Luxemburgo
03110-178 das Neves / TO","('DF', 'Distrito Federal')",Brasil
Nicolas Oliveira,042.758.169-94,18,26/03/2006,"Trevo Noah da Mota, 97
Vila Piratininga
31549200 Ramos / GO","('PA', 'Pará')",Brasil
Srta. Valentina da Mata,582.730.419-05,18,09/12/2005,"Esplanada de Fogaça, 6
Carmo
42039210 Peixoto / MG","('PB', 'Paraíba')",Brasil
Julia Brito,364.087.912-04,60,21/05/1964,"Favela de Melo, 399
Ápia
15237-463 Camargo / PE","('MA', 'Maranhão')",Brasil
Marina Duarte,439.208.657-74,28,03/02/1996,"Rua Viana, 56
Esperança
10407-787 Pimenta / PI","('TO', 'Tocantins')",Brasil
Ana Clara Vasconcelos,825.961.740-49,21,23/08/2003,"Alameda de Aragão, 48
Leticia
37681050 Cirino do Sul / RJ","('BA', 'Bahia')",Brasil
José Pedro Casa Grande,754.013.869-66,21,25/02/2003,"Chácara Lucas Azevedo, 97
Betânia
18197268 Melo / AP","('PI', 'Piauí')",Brasil
Maria Julia Fernandes,836.957.024-00,38,20/01/1986,"Via Vitor Hugo da Luz
Marçola
40692234 Câmara do Campo / MA","('MT', 'Mato Grosso')",Brasil
Murilo Andrade,418.062.753-17,45,23/06/1979,"Feira de Sales, 24
Vila Bandeirantes
31871543 Rodrigues de da Cruz / TO","('RR', 'Roraima')",Brasil
Dr. Danilo Cassiano,016.785.423-26,46,09/08/1978,"Residencial de da Mata, 73
Vila Sumaré
06907-249 Jesus / MS","('AC', 'Acre')",Brasil
Dr. Benjamin Rios,671.952.480-11,42,26/03/1982,"Colônia de Fogaça, 8
Betânia
15058-827 Marques / SE","('PB', 'Paraíba')",Brasil
Luiz Gustavo Nascimento,814.296.705-76,55,07/01/1969,"Praça de Pereira, 6
Vila Havaí
43652833 Viana / PA","('PI', 'Piauí')",Brasil
Mariane Souza,586.420.719-58,45,19/10/1979,"Rua Dom Rocha, 59
Vila Madre Gertrudes 3ª Seção
25129863 Araújo de Leão / RR","('MG', 'Minas Gerais')",Brasil
Gustavo Henrique Borges,587.694.032-10,46,08/06/1978,"Recanto Dom Almeida
Conjunto Providencia
39451-982 Albuquerque / PA","('AM', 'Amazonas')",Brasil
Pietra Novaes,941.836.250-33,30,14/05/1994,"Pátio Cassiano, 8
Conjunto Santa Maria
89276-644 Sales de Minas / CE","('DF', 'Distrito Federal')",Brasil
Isis Teixeira,861.934.725-09,47,28/10/1977,"Via de Rocha, 64
Vila Novo São Lucas
15156-450 Pires de Minas / AC","('CE', 'Ceará')",Brasil
Dra. Daniela Freitas,579.803.162-40,32,30/10/1992,"Morro Teixeira, 51
São Salvador
60892-336 da Mota Verde / MG","('MS', 'Mato Grosso do Sul')",Brasil
Bento da Costa,014.563.829-42,50,08/08/1974,"Setor de Pastor
Fernão Dias
83836492 Macedo do Campo / RR","('PE', 'Pernambuco')",Brasil
Fernanda Rios,412.856.793-00,28,10/07/1996,"Rodovia Abreu, 75
Pilar
13751059 Rodrigues das Flores / AM","('SC', 'Santa Catarina')",Brasil
Ana Beatriz da Mota,086.532.941-98,22,08/08/2002,"Praia Ramos, 2
Conjunto Capitão Eduardo
76290-865 Costela / SC","('PE', 'Pernambuco')",Brasil
Fernando Melo,017.832.694-13,37,01/12/1986,"Sítio de da Conceição, 2
Vila Primeiro De Maio
63841-683 Rocha da Mata / AM","('RS', 'Rio Grande do Sul')",Brasil
Srta. Mariah Carvalho,367.085.241-71,44,29/09/1980,"Jardim de Souza, 26
Aarão Reis
65100988 Mendes de Souza / AP","('PR', 'Paraná')",Brasil
Luiz Henrique Mendonça,189.274.536-46,28,19/04/1996,"Alameda Martins, 53
Serra
20446449 Aparecida da Mata / PI","('MT', 'Mato Grosso')",Brasil
Sr. Thomas Casa Grande,940.618.253-05,30,20/05/1994,"Vereda Martins, 29
Conjunto Califórnia I
47161-123 Fonseca dos Dourados / TO","('AP', 'Amapá')",Brasil
Dante Guerra,137.895.620-68,28,20/04/1996,"Condomínio Isadora Cunha
Cônego Pinheiro 1ª Seção
13792660 da Mota / CE","('RR', 'Roraima')",Brasil
Lívia Azevedo,283.901.764-40,26,13/12/1997,"Loteamento de Leão, 540
Jardim Do Vale
73500-462 Almeida / SE","('RR', 'Roraima')",Brasil
Sra. Isabella Montenegro,982.163.705-12,54,28/12/1969,"Rodovia Farias, 48
Flavio Marques Lisboa
61610028 Garcia Alegre / MS","('SE', 'Sergipe')",Brasil
João Guilherme Farias,806.791.254-85,56,13/08/1968,"Ladeira Manuela Novais, 77
Castanheira
60264844 Garcia do Oeste / RO","('CE', 'Ceará')",Brasil
Maria Laura Cavalcanti,849.172.503-23,53,30/10/1971,"Campo Bruna Costela, 84
Serra
25372-711 Correia / SC","('BA', 'Bahia')",Brasil
Davi Luiz Vieira,160.325.749-70,58,10/09/1966,"Campo Lucas Gabriel Andrade, 23
Gameleira
99525-255 Pereira / RN","('CE', 'Ceará')",Brasil
Julia Novais,754.163.890-01,33,03/02/1991,"Campo de da Mota, 846
Conjunto Celso Machado
60320-775 Carvalho / RJ","('BA', 'Bahia')",Brasil
Bento Martins,630.245.187-62,27,23/06/1997,"Residencial Lorenzo Cassiano, 40
Vera Cruz
44665810 Sales / AM","('TO', 'Tocantins')",Brasil
Ana Barbosa,529.638.104-15,29,16/11/1995,"Jardim Rios, 4
Vitoria
65549-208 Nunes do Amparo / GO","('BA', 'Bahia')",Brasil
Sara Borges,491.528.730-05,35,31/01/1989,"Trecho Arthur Miguel da Conceição
Ventosa
84739727 Pimenta de Goiás / AP","('SC', 'Santa Catarina')",Brasil
Marina Moura,250.164.389-51,26,10/07/1998,"Largo Lopes, 93
Conjunto Santa Maria
24543-170 Mendonça de da Luz / BA","('MT', 'Mato Grosso')",Brasil
Luiz Fernando Machado,038.762.914-96,58,12/12/1965,"Quadra de Martins
Buraco Quente
78413-043 Cunha do Sul / MT","('TO', 'Tocantins')",Brasil
Caio Silveira,256.489.710-01,21,30/12/2002,"Estação de Sousa
São Francisco
74573-015 Melo / MT","('AP', 'Amapá')",Brasil
Heitor Rodrigues,894.273.651-37,40,13/03/1984,"Núcleo Henrique Borges, 67
Etelvina Carneiro
30266-068 Costa / DF","('PA', 'Pará')",Brasil
Sra. Carolina Albuquerque,358.692.104-70,39,12/05/1985,"Trecho Isabelly Pires, 23
Canaa
21855361 Barros / TO","('GO', 'Goiás')",Brasil
Srta. Evelyn Ribeiro,541.032.697-07,53,11/05/1971,"Parque Barros, 80
Guarani
22134-420 Alves / AL","('RR', 'Roraima')",Brasil
Arthur Gabriel Costa,627.509.138-02,51,30/06/1973,"Ladeira Isabel Melo
Vitoria Da Conquista
22095-761 Costa das Flores / MS","('MA', 'Maranhão')",Brasil
Rhavi da Costa,594.038.672-56,38,01/05/1986,"Passarela Vasconcelos
Conjunto Lagoa
79406-360 Barbosa de Goiás / TO","('ES', 'Espírito Santo')",Brasil
Kevin Jesus,439.260.718-69,50,19/05/1974,"Jardim de Vargas, 21
Mala E Cuia
09519322 Nunes Verde / MA","('SE', 'Sergipe')",Brasil
Julia Câmara,862.573.490-10,23,28/06/2001,"Condomínio Gustavo Henrique Silveira, 373
Vila Trinta E Um De Março
06934-580 Farias / MA","('DF', 'Distrito Federal')",Brasil
Maria Luísa Araújo,749.368.150-39,59,27/09/1965,"Sítio Moura, 68
Independência
28321-001 Duarte / AM","('AP', 'Amapá')",Brasil
Mirella da Cunha,257.348.619-28,43,13/04/1981,"Estação Vasconcelos, 3
Mirante
08791-912 Borges do Galho / TO","('RN', 'Rio Grande do Norte')",Brasil
Hadassa Ramos,743.065.918-75,45,09/08/1979,"Jardim Pereira, 154
Vila Fumec
97636380 Ferreira / MA","('AP', 'Amapá')",Brasil
Asafe Garcia,748.261.059-67,32,16/06/1992,"Residencial Thales Monteiro
Lagoinha Leblon
06506-318 Silva das Pedras / MS","('RO', 'Rondônia')",Brasil
Benjamim Santos,193.570.826-03,52,21/11/1971,"Loteamento Pacheco, 25
Serrano
61927-259 Montenegro da Serra / AC","('BA', 'Bahia')",Brasil
Rodrigo Freitas,953.140.287-60,56,21/09/1968,"Lago Maria Eduarda Siqueira, 265
Padre Eustáquio
77974-368 da Conceição / RN","('SE', 'Sergipe')",Brasil
Bernardo Cardoso,794.568.120-49,37,12/01/1987,"Vereda Ana Vitória Mendonça, 53
Heliopolis
85038-784 Melo / PI","('PA', 'Pará')",Brasil
Maria Fernanda Pacheco,630.258.174-53,55,07/01/1969,"Morro de Albuquerque, 13
Mirante
61617522 Albuquerque de Montenegro / AL","('SE', 'Sergipe')",Brasil
Isabel Sá,812.534.907-32,39,29/04/1985,"Vila Fonseca, 76
Vila Sumaré
31831277 Novaes / SC","('RS', 'Rio Grande do Sul')",Brasil
Daniela Lima,298.574.361-37,24,11/07/2000,"Viela José Lopes, 94
Vila Nova Gameleira 3ª Seção
61307645 Silveira / MA","('PR', 'Paraná')",Brasil
Ana Clara Oliveira,976.853.120-77,56,04/05/1968,"Vereda de Cardoso, 84
Caiçara - Adelaide
67143-675 Macedo da Prata / ES","('AC', 'Acre')",Brasil
Rafaela Farias,139.420.586-42,47,01/09/1977,"Fazenda Fernandes, 29
Vila Piratininga
64998696 Carvalho Verde / AM","('PI', 'Piauí')",Brasil
Rael Alves,953.041.827-23,56,11/09/1968,"Jardim Elisa Martins, 93
São Sebastião
18119-619 Macedo / RS","('RJ', 'Rio de Janeiro')",Brasil
Ísis Siqueira,348.629.750-38,27,31/05/1997,"Ladeira Dias, 40
Jaqueline
45481-299 Cavalcanti dos Dourados / CE","('MS', 'Mato Grosso do Sul')",Brasil
Isabela Camargo,109.752.468-01,57,05/01/1967,"Alameda de Moraes, 42
Ventosa
81407556 Fernandes / PR","('CE', 'Ceará')",Brasil
Lucas Gabriel da Rocha,367.045.182-07,45,04/10/1979,"Parque Clara Sá, 85
Maria Helena
68371592 Lima Alegre / CE","('MA', 'Maranhão')",Brasil
Maria Isis Ribeiro,329.674.851-28,43,26/09/1981,"Distrito Pacheco, 23
Conjunto Califórnia I
84433-586 Ferreira Alegre / ES","('PI', 'Piauí')",Brasil
Yasmin da Cruz,329.470.615-43,41,13/09/1983,"Rodovia Alexandre Fogaça, 28
Vila Suzana Segunda Seção
41073140 Nascimento / AP","('PR', 'Paraná')",Brasil
Luiz Gustavo Rodrigues,219.684.530-24,58,12/06/1966,"Loteamento Mariane Nunes, 2
Conjunto Santa Maria
89526-625 das Neves de Minas / MT","('SP', 'São Paulo')",Brasil
Emanuelly Teixeira,631.589.042-33,19,11/11/2005,"Sítio Araújo
Vila São Geraldo
22530146 Cavalcanti / MA","('MA', 'Maranhão')",Brasil
Dr. Murilo Rodrigues,915.647.238-28,33,24/09/1991,"Distrito Moura, 20
Santa Rita De Cássia
91348-069 Farias / AL","('CE', 'Ceará')",Brasil
Isabela Carvalho,431.506.278-26,56,26/01/1968,"Conjunto Fonseca, 24
Aparecida
19677-628 Campos / TO","('RN', 'Rio Grande do Norte')",Brasil
Cecília Costa,625.419.307-80,18,29/05/2006,"Viela Lucca Lopes, 489
Alto Barroca
70466-785 Cassiano de Nogueira / AM","('SP', 'São Paulo')",Brasil
Brayan Barros,465.319.802-06,35,04/12/1988,"Alameda de Marques, 55
Acaiaca
42820811 Ramos Verde / MG","('SC', 'Santa Catarina')",Brasil
Ryan Fonseca,920.783.641-69,57,07/04/1967,"Setor Pastor, 85
Jardim Vitoria
25837-934 Pires / AL","('DF', 'Distrito Federal')",Brasil
Anna Liz Araújo,876.921.053-59,56,25/04/1968,"Jardim Lucas Ferreira, 9
São Pedro
57528-658 Teixeira / BA","('AP', 'Amapá')",Brasil
Bryan Azevedo,165.492.378-82,56,23/03/1968,"Residencial de Silveira, 9
São Jorge 3ª Seção
35102565 Cirino do Campo / ES","('RR', 'Roraima')",Brasil
Sra. Sophie Pacheco,578.601.329-40,39,17/08/1985,"Residencial de Machado, 63
Conjunto São Francisco De Assis
07836-985 Teixeira / CE","('PR', 'Paraná')",Brasil
Sr. Brayan Nogueira,501.643.298-89,46,22/10/1978,"Feira de da Cruz
Jonas Veiga
89554-483 Souza / RS","('SC', 'Santa Catarina')",Brasil
Ayla Rios,190.756.483-75,59,16/09/1965,"Quadra de Aragão, 831
Vila Sesc
12656481 Cirino das Pedras / SP","('PB', 'Paraíba')",Brasil
Elisa Correia,965.127.308-95,20,03/08/2004,"Colônia de Moura, 57
Bernadete
95487-871 Barros de da Rocha / PR","('PI', 'Piauí')",Brasil
Diego Viana,928.436.015-33,27,10/05/1997,"Alameda Vieira, 41
Boa Viagem
83461-725 Rodrigues / RO","('ES', 'Espírito Santo')",Brasil
Sr. Yago Borges,067.835.219-40,58,12/03/1966,"Fazenda de Costela, 234
Castanheira
67107393 Ferreira do Sul / MG","('AM', 'Amazonas')",Brasil
Henry Gabriel Pastor,405.172.896-01,26,02/04/1998,"Ladeira Igor Aparecida
São Francisco
67813-713 Cardoso de Goiás / PI","('DF', 'Distrito Federal')",Brasil
Sra. Luna Teixeira,194.657.308-66,56,18/11/1968,"Morro de Brito, 467
Nova Gameleira
06209296 Pires / RR","('ES', 'Espírito Santo')",Brasil
Maitê Moura,510.763.429-06,36,21/08/1988,"Travessa Théo Pastor, 58
Cidade Jardim Taquaril
53557-538 Sampaio da Mata / ES","('DF', 'Distrito Federal')",Brasil
Bianca Freitas,570.823.614-08,55,25/07/1969,"Praça de Cirino, 45
Alta Tensão 1ª Seção
93121-200 Vieira das Pedras / RJ","('SP', 'São Paulo')",Brasil
Nicolas Aragão,051.876.394-39,56,20/06/1968,"Estrada das Neves
Universo
88958849 Lima / DF","('PA', 'Pará')",Brasil
Sra. Heloísa Fernandes,736.895.210-68,59,28/03/1965,"Vila da Luz, 5
Estoril
78888-008 Abreu / PA","('RO', 'Rondônia')",Brasil
Vitor Machado,510.298.736-40,47,20/01/1977,"Vila Maria Eduarda Silva, 13
Santa Cruz
60310076 Mendonça / PI","('CE', 'Ceará')",Brasil
Ana Júlia Fernandes,602.713.549-25,53,08/02/1971,"Feira de da Cruz, 37
Vila Real 2ª Seção
21647-935 Pinto das Flores / GO","('SE', 'Sergipe')",Brasil
Milena Gonçalves,032.687.149-78,29,26/11/1994,"Chácara de Caldeira, 5
Vila União
49172-427 das Neves do Amparo / DF","('MG', 'Minas Gerais')",Brasil
Valentim Cirino,071.329.568-68,54,07/06/1970,"Núcleo Emilly Cavalcanti, 74
Gameleira
93940-169 Cavalcante / AP","('RJ', 'Rio de Janeiro')",Brasil
Sr. Davi Luiz Rocha,571.430.629-52,32,17/06/1992,"Quadra de da Rocha, 30
Caiçara - Adelaide
21179-267 Jesus das Pedras / BA","('SC', 'Santa Catarina')",Brasil
Léo Abreu,721.439.068-03,52,11/09/1972,"Colônia Alícia Andrade, 29
Jonas Veiga
52106-954 Rocha / AP","('GO', 'Goiás')",Brasil
Dr. Benício Lopes,078.931.524-60,23,24/10/2001,"Recanto Vargas, 39
Solar Do Barreiro
20946-737 da Paz do Norte / PB","('RN', 'Rio Grande do Norte')",Brasil
Antônio Pires,065.714.893-84,57,22/04/1967,"Viaduto da Cruz, 73
Bom Jesus
35392507 Guerra / AC","('ES', 'Espírito Santo')",Brasil
Liz Macedo,861.743.029-03,56,28/01/1968,"Feira Ana Luiza da Mata
São Tomaz
20955-015 Leão / MT","('ES', 'Espírito Santo')",Brasil
Maria Eduarda da Luz,693.157.284-91,20,11/09/2004,"Condomínio Ferreira, 19
Itapoa
83201-493 Sales / SE","('RR', 'Roraima')",Brasil
Vinicius Azevedo,178.925.406-01,47,20/11/1976,"Colônia de Lopes
Marieta 1ª Seção
14289528 Silva / CE","('CE', 'Ceará')",Brasil
Ana Lívia Novais,721.465.093-25,20,08/04/2004,"Trecho de da Conceição, 9
Vila Pilar
40976484 Cavalcante / RR","('PA', 'Pará')",Brasil
João Pedro Ramos,572.491.683-55,47,02/05/1977,"Vereda Araújo, 612
Renascença
54557606 Almeida Verde / MS","('AC', 'Acre')",Brasil
Lunna Pimenta,029.187.645-58,37,26/07/1987,"Viaduto de da Cruz, 70
Cabana Do Pai Tomás
50567311 Teixeira Grande / PR","('GO', 'Goiás')",Brasil
Vitor Alves,415.927.863-91,33,21/04/1991,"Área das Neves, 87
Custodinha
75787-777 Jesus / RO","('RO', 'Rondônia')",Brasil
Thiago Castro,406.329.718-78,47,27/11/1976,"Vereda de Borges
Trevo
64656937 Pacheco / PA","('SE', 'Sergipe')",Brasil
Alice Borges,258.734.619-37,38,30/03/1986,"Sítio Aragão, 7
Vila Independencia 1ª Seção
88619443 Vieira / MG","('BA', 'Bahia')",Brasil
Dra. Gabriela Viana,286.509.471-58,55,13/01/1969,"Residencial de Siqueira, 20
Serrano
84584963 Rezende / AL","('PI', 'Piauí')",Brasil
Davi Luiz Farias,492.036.571-34,33,01/12/1990,"Sítio Andrade, 1
Grajaú
99301721 da Rocha / PE","('RN', 'Rio Grande do Norte')",Brasil
Sara Fernandes,096.281.437-78,48,27/04/1976,"Trevo Sales, 52
Vila Santo Antônio
65432-326 Porto de Ferreira / RO","('MA', 'Maranhão')",Brasil
Lívia Barbosa,062.748.153-17,48,22/05/1976,"Rodovia Arthur Miguel Gonçalves, 25
Santo André
24599137 Garcia / MG","('MG', 'Minas Gerais')",Brasil
Hellena Alves,741.285.390-23,18,05/11/2006,"Alameda Melina Melo, 77
Bonfim
52589-339 Andrade / PB","('ES', 'Espírito Santo')",Brasil
José Pedro da Paz,048.251.796-49,44,29/10/1980,"Via de Gomes, 5
Pindura Saia
97557396 Porto de Ribeiro / AM","('PA', 'Pará')",Brasil
Maria Liz Peixoto,285.437.609-92,52,26/08/1972,"Fazenda de Gomes, 9
Cônego Pinheiro 2ª Seção
52746-955 da Rosa / MT","('ES', 'Espírito Santo')",Brasil
Srta. Sophia Fonseca,192.843.750-88,48,18/12/1975,"Setor de Machado, 98
São Gonçalo
12467896 Sá / RS","('AL', 'Alagoas')",Brasil
Maria Fernanda Rezende,410.769.832-78,26,03/10/1998,"Estrada de Caldeira, 19
Vila Nova Gameleira 1ª Seção
72771-673 Cavalcante / RR","('RR', 'Roraima')",Brasil
Eduarda Cavalcanti,160.893.425-05,52,19/12/1971,"Estrada de Pacheco, 67
Túnel De Ibirité
26519818 Câmara / PR","('RS', 'Rio Grande do Sul')",Brasil
Liam Ribeiro,721.306.495-99,49,14/05/1975,"Recanto Moura, 49
Vitoria
83488104 Dias dos Dourados / AL","('ES', 'Espírito Santo')",Brasil
Lucas Gabriel Pereira,103.695.287-86,59,30/07/1965,"Condomínio de Ferreira, 5
Alta Tensão 2ª Seção
71164-229 Viana / RN","('CE', 'Ceará')",Brasil
Stephany Guerra,568.712.930-86,19,28/11/2004,"Aeroporto Ferreira, 1
São Gabriel
79357860 Cardoso / RN","('SC', 'Santa Catarina')",Brasil
Guilherme Porto,691.302.847-40,44,17/12/1979,"Conjunto de Gomes, 28
Mangueiras
75035-236 da Cunha de Gonçalves / MG","('AP', 'Amapá')",Brasil
